id,20_60T9_18,weekend,total_tourists
1662.0,26.110673495,70.278064547,96.388738042
1661.0,27.416798522,79.590736952,107.00753547400001
1600.0,44.451223327,138.38292598,182.83414930700002
1598.0,32.958948565,94.736431254,127.695379819
1599.0,35.5355271,112.26889272,147.80441982
1538.0,43.603906337,138.54996117,182.15386750699997
1539.0,18.968312406,57.069339525,76.037651931
1536.0,45.861019484,142.6563995,188.517418984
1537.0,50.383945423,157.28394649,207.667891913
2430.0,1190.3456108,3031.8359615,4222.1815723
2431.0,773.80633582,1772.0357692,2545.84210502
2428.0,413.27332063,1163.8984616,1577.17178223
2429.0,771.6067939,1985.1539423,2756.7607362
2370.0,674.6125954,2043.3371154,2717.9497108
2496.0,987.1110688,2573.9477884,3561.0588571999997
2497.0,844.1690076,2422.7617307,3266.9307383
2494.0,1129.3901909,2518.5750963,3647.9652872
2495.0,1077.9914886,2432.9910577,3510.9825462999997
2492.0,492.93788375,1439.2681731,1932.20605685
2493.0,638.7008778,1650.839327,2289.5402047999996
2491.0,417.77475095,1356.6376923,1774.41244325
2432.0,1052.8253817,2394.793173,3447.6185547
2433.0,722.1397328,1966.1338462,2688.273579
2102.0,69.1583557,354.79767192,423.95602762000004
2100.0,37.912412604,131.65260338,169.56501598399998
2101.0,43.824621755,227.418741429,271.243363184
